,Unnamed: 0,TRAFFIC_DATE,TRAINNUMBER,TRAINSERIE,TRAINSERIE_DIRECTION,STATION,ACTIVITYTYPE,DISTANCE_M,PLAN_DATETIME,REALIZED_DATETIME,DELAY,TURNOVER_INDICATOR,PREVIOUS_TRAINNUMBER,COMBINE,SPLIT,ROLLINGSTOCK_TYPE,NUMBER_CARRIAGES,DRIVER_CHANGE,DEPARTURE_SIGNAL_SHOWS_SAFE,PLAN_TURNOVER_TIME,REALIZED_TURNOVER_TIME,MAX_DEPARTURE_TIME,PLAN_SIGNAL_SAFE_DELAY,REALIZED_SIGNAL_SAFE_DELAY,DALUREN,DAY_OF_WEEK,HOUR,DAY_OF_WEEK_sin,DAY_OF_WEEK_cos,HOUR_sin,HOUR_cos,NEEDED_PLAN_TURNOVER_TIME,NEEDED_REALIZED_TURNOVER_TIME,DIFF_TURNOVER_TIME,DIFF_TURNOVER_TIME_CAT
1007,515419,2023-01-08,3053,3000.0,O,Ah,V,0.0,2023-01-08 16:05:00+00:00,2023-01-08 16:05:05+00:00,5.0,1,,0,0,VIRM,6.0,1.0,2023-01-08 16:04:07+00:00,2052.0,2090.0,,-53.0,-58.0,True,6,16,-0.7818314824680299,0.6234898018587334,-0.8660254037844385,-0.5000000000000004,2107.0,2145.0,-38.0,perfect
1056,551330,2023-01-09,641,600.0,O,Ut,V,0.0,2023-01-09 12:19:00+00:00,2023-01-09 12:19:32+00:00,32.0,1,,0,0,ICM,7.0,1.0,2023-01-09 12:18:07+00:00,2184.0,2198.0,,-53.0,-85.0,True,0,12,0.0,1.0,1.2246467991473532e-16,-1.0,2212.0,2226.0,-14.0,perfect
1058,551356,2023-01-09,665,600.0,O,Ut,V,0.0,2023-01-09 18:19:00+00:00,2023-01-09 18:19:05+00:00,5.0,1,,0,0,ICM,7.0,0.0,2023-01-09 18:18:07+00:00,2130.0,2079.0,,-53.0,-58.0,False,0,18,0.0,1.0,-1.0,-1.8369701987210294e-16,2185.0,2134.0,51.0,perfect
1060,551530,2023-01-09,575,500.0,O,Ut,V,0.0,2023-01-09 20:49:00+00:00,2023-01-09 20:49:11+00:00,11.0,1,,0,0,DDZ,6.0,1.0,2023-01-09 20:48:07+00:00,2184.0,2179.0,,-53.0,-64.0,True,0,20,0.0,1.0,-0.8660254037844386,0.5000000000000001,2233.0,2228.0,5.0,perfect
1062,551580,2023-01-09,645,600.0,O,Ut,V,0.0,2023-01-09 13:19:00+00:00,2023-01-09 13:19:03+00:00,3.0,1,,0,0,ICM,6.0,0.0,2023-01-09 13:18:07+00:00,2184.0,2140.0,,-53.0,-56.0,True,0,13,0.0,1.0,-0.2588190451025208,-0.9659258262890684,2241.0,2197.0,44.0,perfect
1064,551791,2023-01-09,629,600.0,O,Ut,V,0.0,2023-01-09 09:19:00+00:00,2023-01-09 09:19:18+00:00,18.0,1,,0,0,ICM,6.0,1.0,2023-01-09 09:18:08+00:00,2220.0,2153.0,,-52.0,-70.0,True,0,9,0.0,1.0,0.7071067811865476,-0.7071067811865475,2262.0,2195.0,67.0,too late
1067,551973,2023-01-09,551,500.0,O,Ut,V,0.0,2023-01-09 14:49:00+00:00,2023-01-09 14:49:14+00:00,14.0,1,,0,0,DDZ,6.0,1.0,2023-01-09 14:48:07+00:00,2184.0,2176.0,,-53.0,-67.0,True,0,14,0.0,1.0,-0.4999999999999997,-0.8660254037844388,2230.0,2222.0,8.0,perfect
1071,552168,2023-01-09,516,500.0,E,Ut,V,0.0,2023-01-09 07:18:00+00:00,2023-01-09 07:18:24+00:00,24.0,1,,0,0,ICM,9.0,1.0,2023-01-09 07:17:07+00:00,2490.0,2473.0,,-53.0,-77.0,False,0,7,0.0,1.0,0.9659258262890684,-0.2588190451025206,2526.0,2509.0,17.0,perfect
1083,552429,2023-01-09,571,500.0,O,Ut,V,0.0,2023-01-09 19:49:00+00:00,2023-01-09 19:49:10+00:00,10.0,1,,0,0,ICM,8.0,1.0,2023-01-09 19:48:04+00:00,2130.0,2140.0,,-56.0,-66.0,True,0,19,0.0,1.0,-0.9659258262890684,0.2588190451025203,2180.0,2190.0,-10.0,perfect
1091,552732,2023-01-09,626,600.0,E,Ut,V,0.0,2023-01-09 09:48:00+00:00,2023-01-09 09:48:17+00:00,17.0,1,,0,0,ICM,9.0,1.0,2023-01-09 09:47:07+00:00,2490.0,2392.0,,-53.0,-70.0,True,0,9,0.0,1.0,0.7071067811865476,-0.7071067811865475,2533.0,2435.0,98.0,too late
1120,560721,2023-01-09,3023,3000.0,O,Ah,V,0.0,2023-01-09 08:35:00+00:00,2023-01-09 08:35:09+00:00,9.0,1,,0,0,VIRM,8.0,1.0,2023-01-09 08:34:16+00:00,2064.0,2026.0,,-44.0,-53.0,False,0,8,0.0,1.0,0.8660254037844387,-0.4999999999999998,2115.0,2077.0,38.0,perfect
1124,561280,2023-01-09,3039,3000.0,O,Ah,V,0.0,2023-01-09 12:35:00+00:00,2023-01-09 12:35:08+00:00,8.0,1,,0,0,VIRM,6.0,1.0,2023-01-09 12:34:08+00:00,2010.0,2034.0,,-52.0,-60.0,True,0,12,0.0,1.0,1.2246467991473532e-16,-1.0,2062.0,2086.0,-24.0,perfect
