,Unnamed: 0,TRAFFIC_DATE,TRAINNUMBER,TRAINSERIE,TRAINSERIE_DIRECTION,STATION,ACTIVITYTYPE,DISTANCE_M,PLAN_DATETIME,REALIZED_DATETIME,DELAY,TURNOVER_INDICATOR,PREVIOUS_TRAINNUMBER,COMBINE,SPLIT,ROLLINGSTOCK_TYPE,NUMBER_CARRIAGES,DRIVER_CHANGE,DEPARTURE_SIGNAL_SHOWS_SAFE,PLAN_TURNOVER_TIME,REALIZED_TURNOVER_TIME,MAX_DEPARTURE_TIME,PLAN_SIGNAL_SAFE_DELAY,REALIZED_SIGNAL_SAFE_DELAY,DALUREN,DAY_OF_WEEK,HOUR,DAY_OF_WEEK_sin,DAY_OF_WEEK_cos,HOUR_sin,HOUR_cos,NEEDED_PLAN_TURNOVER_TIME,NEEDED_REALIZED_TURNOVER_TIME,DIFF_TURNOVER_TIME,DIFF_TURNOVER_TIME_CAT
151587,5403665,2023-03-22,3057,3000.0,O,Hdr,V,,2023-03-22 14:34:00+00:00,2023-03-22 14:33:59+00:00,-1.0,1,3036.0,0,0,VIRM,4.0,1.0,2023-03-22 14:33:08+00:00,2280.0,2256.0,,-52.0,-51.0,True,2,14,0.9749279121818236,-0.2225209339563143,-0.4999999999999997,-0.8660254037844388,2341.0,2317.0,24.0,perfect
151588,5403687,2023-03-20,726,700.0,E,Gn,V,,2023-03-20 07:48:00+00:00,2023-03-20 07:48:05+00:00,5.0,1,713.0,0,0,DDZ,4.0,0.0,2023-03-20 07:47:10+00:00,2160.0,2145.0,,-50.0,-55.0,False,0,7,0.0,1.0,0.9659258262890684,-0.2588190451025206,2215.0,2200.0,15.0,perfect
151605,5403804,2023-03-08,2273,2200.0,O,Vs,V,,2023-03-08 17:21:00+00:00,2023-03-08 17:21:01+00:00,1.0,1,2242.0,0,0,VIRM,4.0,0.0,2023-03-08 17:20:09+00:00,2520.0,2492.0,,-51.0,-52.0,False,2,17,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,-0.2588190451025206,2579.0,2551.0,28.0,perfect
151621,5404029,2023-03-19,3053,3000.0,O,Hdr,V,,2023-03-19 13:34:00+00:00,2023-03-19 13:34:05+00:00,5.0,1,3032.0,0,0,VIRM,6.0,1.0,2023-03-19 13:33:07+00:00,2280.0,2259.0,,-53.0,-58.0,True,6,13,-0.7818314824680299,0.6234898018587334,-0.2588190451025208,-0.9659258262890684,2335.0,2314.0,21.0,perfect
151624,5404043,2023-03-02,3081,3000.0,O,Hdr,V,,2023-03-02 20:34:00+00:00,2023-03-02 20:35:16+00:00,76.0,1,3060.0,0,0,VIRM,6.0,0.0,2023-03-02 20:33:07+00:00,2280.0,2247.0,,-53.0,-129.0,True,3,20,0.4338837391175582,-0.900968867902419,-0.8660254037844386,0.5000000000000001,2264.0,2231.0,33.0,perfect
151649,5404262,2023-03-09,3075,3000.0,O,Hdr,V,,2023-03-09 19:04:00+00:00,2023-03-09 19:04:56+00:00,56.0,1,303054.0,0,0,VIRM,6.0,0.0,2023-03-09 19:03:08+00:00,2280.0,2292.0,,-52.0,-108.0,True,3,19,0.4338837391175582,-0.900968867902419,-0.9659258262890684,0.2588190451025203,2284.0,2296.0,-12.0,perfect
151651,5404302,2023-03-13,1883,1800.0,O,Gvc,V,,2023-03-13 22:03:00+00:00,2023-03-13 22:03:14+00:00,14.0,1,770.0,0,0,ICM,7.0,1.0,2023-03-13 22:02:10+00:00,2190.0,2023.0,,-50.0,-64.0,True,0,22,0.0,1.0,-0.5000000000000004,0.8660254037844384,2236.0,2069.0,167.0,too late
151658,5404361,2023-03-04,789,700.0,O,Gvc,V,,2023-03-04 23:33:00+00:00,2023-03-04 23:33:03+00:00,3.0,1,1876.0,0,1,ICM,3.0,0.0,2023-03-04 23:32:09+00:00,2190.0,2170.0,,-51.0,-54.0,True,5,23,-0.9749279121818236,-0.2225209339563146,-0.2588190451025215,0.965925826289068,2247.0,2227.0,20.0,perfect
151660,5404384,2023-03-05,745,700.0,O,Gvc,V,,2023-03-05 12:33:00+00:00,2023-03-05 12:32:53+00:00,-7.0,1,1832.0,0,0,ICM,7.0,1.0,2023-03-05 12:32:09+00:00,2040.0,2062.0,,-51.0,-44.0,True,6,12,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,2107.0,2129.0,-22.0,perfect
151674,5404480,2023-03-21,580,500.0,E,Gn,V,,2023-03-21 21:18:00+00:00,2023-03-21 21:18:33+00:00,33.0,1,567.0,0,0,ICM,6.0,0.0,2023-03-21 21:17:11+00:00,2160.0,2227.0,,-49.0,-82.0,True,1,21,0.7818314824680298,0.6234898018587336,-0.7071067811865477,0.7071067811865474,2187.0,2254.0,-67.0,too early
151698,5404684,2023-03-29,3043,3000.0,O,Hdr,V,,2023-03-29 11:04:00+00:00,2023-03-29 11:03:59+00:00,-1.0,1,3022.0,0,0,VIRM,4.0,0.0,2023-03-29 11:03:08+00:00,2280.0,2301.0,,-52.0,-51.0,True,2,11,0.9749279121818236,-0.2225209339563143,0.258819045102521,-0.9659258262890682,2341.0,2362.0,-21.0,perfect
151724,5404858,2023-03-12,1582,1500.0,E,Lw,V,,2023-03-12 21:17:00+00:00,2023-03-12 21:17:18+00:00,18.0,1,1567.0,0,0,DDZ,6.0,1.0,2023-03-12 21:16:09+00:00,2040.0,2089.0,,-51.0,-69.0,True,6,21,-0.7818314824680299,0.6234898018587334,-0.7071067811865477,0.7071067811865474,2082.0,2131.0,-49.0,perfect
151728,5404894,2023-03-05,7090,7000.0,E,Aml,V,,2023-03-06 00:09:00+00:00,2023-03-06 00:09:26+00:00,26.0,1,7081.0,0,0,SNG,3.0,0.0,2023-03-06 00:08:09+00:00,1980.0,2027.0,,-51.0,-77.0,True,0,0,0.0,1.0,0.0,1.0,2014.0,2061.0,-47.0,perfect
151758,5405147,2023-03-26,8158,8100.0,E,Gn,V,,2023-03-26 15:33:00+00:00,2023-03-26 15:33:27+00:00,27.0,1,8143.0,0,0,SNG,4.0,1.0,2023-03-26 15:32:08+00:00,2160.0,2076.0,,-52.0,-79.0,True,6,15,-0.7818314824680299,0.6234898018587334,-0.7071067811865471,-0.7071067811865479,2193.0,2109.0,84.0,too late
151759,5405149,2023-03-29,2281,2200.0,O,Vs,V,,2023-03-29 19:21:00+00:00,2023-03-29 19:21:06+00:00,6.0,1,2250.0,0,0,VIRM,6.0,1.0,2023-03-29 19:20:09+00:00,2484.0,2470.0,,-51.0,-57.0,True,2,19,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,0.2588190451025203,2538.0,2524.0,14.0,perfect
151761,5405177,2023-03-31,1832,1800.0,E,Lw,V,,2023-03-31 09:17:00+00:00,2023-03-31 09:19:15+00:00,135.0,1,1819.0,0,0,ICM,6.0,0.0,2023-03-31 09:16:10+00:00,2040.0,2213.0,,-50.0,-185.0,True,4,9,-0.433883739117558,-0.9009688679024191,0.7071067811865476,-0.7071067811865475,1965.0,2138.0,-173.0,too early
151769,5405217,2023-03-04,8162,8100.0,E,Gn,V,,2023-03-04 16:33:00+00:00,2023-03-04 16:32:57+00:00,-3.0,1,8147.0,0,0,SNG,3.0,1.0,2023-03-04 16:32:15+00:00,2160.0,2156.0,,-45.0,-42.0,True,5,16,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,2223.0,2219.0,4.0,perfect
151797,5405451,2023-03-11,1552,1500.0,E,Gn,V,,2023-03-11 13:48:00+00:00,2023-03-11 13:48:48+00:00,48.0,1,737.0,0,0,ICM,7.0,0.0,2023-03-11 13:47:04+00:00,2160.0,2241.0,,-56.0,-104.0,True,5,13,-0.9749279121818236,-0.2225209339563146,-0.2588190451025208,-0.9659258262890684,2172.0,2253.0,-81.0,too early
151802,5405479,2023-03-30,6489,6400.0,O,Tbu,V,,2023-03-31 00:33:00+00:00,2023-03-31 00:32:47+00:00,-13.0,1,6488.0,0,0,FLIRT,3.0,0.0,2023-03-31 00:32:27+00:00,2100.0,2031.0,,-33.0,-20.0,True,4,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,2173.0,2104.0,69.0,too late
151816,5405675,2023-03-06,2249,2200.0,O,Vs,V,,2023-03-06 11:21:00+00:00,2023-03-06 11:21:08+00:00,8.0,1,2218.0,0,0,VIRM,4.0,1.0,2023-03-06 11:20:09+00:00,2520.0,2472.0,,-51.0,-59.0,True,0,11,0.0,1.0,0.258819045102521,-0.9659258262890682,2572.0,2524.0,48.0,perfect
151895,5406509,2023-03-10,560,500.0,E,Gn,V,,2023-03-10 16:18:00+00:00,2023-03-10 16:18:27+00:00,27.0,1,547.0,1,0,ICM,11.0,1.0,2023-03-10 16:17:08+00:00,2160.0,2146.0,,-52.0,-79.0,False,4,16,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,2193.0,2179.0,14.0,perfect
151917,5406722,2023-03-22,650,600.0,E,Lw,V,,2023-03-22 13:47:00+00:00,2023-03-22 13:47:05+00:00,5.0,1,637.0,1,0,DDZ,8.0,1.0,2023-03-22 13:46:09+00:00,2040.0,2059.0,,-51.0,-56.0,True,2,13,0.9749279121818236,-0.2225209339563143,-0.2588190451025208,-0.9659258262890684,2095.0,2114.0,-19.0,perfect
151918,5406732,2023-03-21,3045,3000.0,O,Hdr,V,,2023-03-21 11:34:00+00:00,2023-03-21 11:34:01+00:00,1.0,1,3024.0,0,0,VIRM,4.0,1.0,2023-03-21 11:33:07+00:00,2280.0,2319.0,,-53.0,-54.0,True,1,11,0.7818314824680298,0.6234898018587336,0.258819045102521,-0.9659258262890682,2339.0,2378.0,-39.0,perfect
151920,5406747,2023-03-30,3061,3000.0,O,Hdr,V,,2023-03-30 15:34:00+00:00,2023-03-30 15:34:07+00:00,7.0,1,3040.0,0,0,VIRM,6.0,1.0,2023-03-30 15:33:07+00:00,2280.0,2288.0,,-53.0,-60.0,True,3,15,0.4338837391175582,-0.900968867902419,-0.7071067811865471,-0.7071067811865479,2333.0,2341.0,-8.0,perfect
151922,5406769,2023-03-25,634,600.0,E,Lw,V,,2023-03-25 09:47:00+00:00,2023-03-25 09:47:53+00:00,53.0,1,300621.0,1,0,ICM,7.0,1.0,2023-03-25 09:46:09+00:00,2040.0,2106.0,,-51.0,-104.0,True,5,9,-0.9749279121818236,-0.2225209339563146,0.7071067811865476,-0.7071067811865475,2047.0,2113.0,-66.0,too early
151963,5407100,2023-03-23,8190,8100.0,E,Gn,V,,2023-03-23 23:30:30+00:00,2023-03-23 23:30:49+00:00,19.0,1,8175.0,0,0,SNG,3.0,0.0,2023-03-23 23:29:54+00:00,2010.0,2052.0,,-36.0,-55.0,True,3,23,0.4338837391175582,-0.900968867902419,-0.2588190451025215,0.965925826289068,2051.0,2093.0,-42.0,perfect
151990,5407356,2023-03-24,3047,3000.0,O,Hdr,V,,2023-03-24 12:04:00+00:00,2023-03-24 12:03:47+00:00,-13.0,1,3026.0,0,0,VIRM,6.0,1.0,2023-03-24 12:03:08+00:00,2280.0,2287.0,,-52.0,-39.0,True,4,12,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,2353.0,2360.0,-7.0,perfect
151993,5407377,2023-03-21,654,600.0,E,Lw,V,,2023-03-21 14:47:00+00:00,2023-03-21 14:46:53+00:00,-7.0,1,641.0,0,0,ICM,6.0,1.0,2023-03-21 14:46:09+00:00,2040.0,2017.0,,-51.0,-44.0,True,1,14,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,2107.0,2084.0,23.0,perfect
152052,5407873,2023-03-26,749,700.0,O,Gvc,V,,2023-03-26 13:33:00+00:00,2023-03-26 13:33:04+00:00,4.0,1,1836.0,0,0,ICM,7.0,0.0,2023-03-26 13:32:10+00:00,2190.0,2232.0,,-50.0,-54.0,True,6,13,-0.7818314824680299,0.6234898018587334,-0.2588190451025208,-0.9659258262890684,2246.0,2288.0,-42.0,perfect
152068,5407993,2023-03-28,8142,8100.0,E,Gn,V,,2023-03-28 11:33:00+00:00,2023-03-28 11:33:40+00:00,40.0,1,8127.0,0,0,SNG,6.0,1.0,2023-03-28 11:32:11+00:00,2160.0,2194.0,,-49.0,-89.0,True,1,11,0.7818314824680298,0.6234898018587336,0.258819045102521,-0.9659258262890682,2180.0,2214.0,-34.0,perfect
152127,5408529,2023-03-24,3091,3000.0,O,Hdr,V,,2023-03-24 23:04:00+00:00,2023-03-24 23:03:50+00:00,-10.0,1,3070.0,0,0,VIRM,6.0,0.0,2023-03-24 23:03:07+00:00,2280.0,2282.0,,-53.0,-43.0,True,4,23,-0.433883739117558,-0.9009688679024191,-0.2588190451025215,0.965925826289068,2350.0,2352.0,-2.0,perfect
152190,5409016,2023-03-27,2253,2200.0,O,Vs,V,,2023-03-27 12:21:00+00:00,2023-03-27 12:20:58+00:00,-2.0,1,2222.0,0,0,VIRM,6.0,0.0,2023-03-27 12:20:09+00:00,2520.0,2357.0,,-51.0,-49.0,True,0,12,0.0,1.0,1.2246467991473532e-16,-1.0,2582.0,2419.0,163.0,too late
152208,5409202,2023-03-07,1856,1800.0,E,Lw,V,,2023-03-07 15:17:00+00:00,2023-03-07 15:17:14+00:00,14.0,1,1843.0,0,0,ICM,7.0,1.0,2023-03-07 15:16:09+00:00,2040.0,2025.0,,-51.0,-65.0,True,1,15,0.7818314824680298,0.6234898018587336,-0.7071067811865471,-0.7071067811865479,2086.0,2071.0,15.0,perfect
152212,5409262,2023-03-18,3063,3000.0,O,Hdr,V,,2023-03-18 16:04:00+00:00,2023-03-18 16:04:09+00:00,9.0,1,3042.0,0,0,VIRM,10.0,1.0,2023-03-18 16:03:07+00:00,2280.0,2326.0,,-53.0,-62.0,True,5,16,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,2331.0,2377.0,-46.0,perfect
152218,5409358,2023-03-12,634,600.0,E,Lw,V,,2023-03-12 09:47:00+00:00,2023-03-12 09:46:53+00:00,-7.0,1,621.0,0,0,ICM,6.0,0.0,2023-03-12 09:46:09+00:00,2040.0,2039.0,,-51.0,-44.0,True,6,9,-0.7818314824680299,0.6234898018587334,0.7071067811865476,-0.7071067811865475,2107.0,2106.0,1.0,perfect
152225,5409392,2023-03-29,1556,1500.0,E,Dv,V,,2023-03-29 15:48:00+00:00,2023-03-29 15:48:10+00:00,10.0,1,1549.0,1,0,ICM,6.0,0.0,2023-03-29 15:47:10+00:00,2160.0,2131.0,,-50.0,-60.0,True,2,15,0.9749279121818236,-0.2225209339563143,-0.7071067811865471,-0.7071067811865479,2210.0,2181.0,29.0,perfect
152293,5409883,2023-03-22,1884,1800.0,E,Lw,V,,2023-03-22 22:17:00+00:00,2023-03-22 22:17:13+00:00,13.0,1,1871.0,0,0,DDZ,4.0,0.0,2023-03-22 22:16:08+00:00,2040.0,2024.0,,-52.0,-65.0,True,2,22,0.9749279121818236,-0.2225209339563143,-0.5000000000000004,0.8660254037844384,2087.0,2071.0,16.0,perfect
152297,5409944,2023-03-29,3091,3000.0,O,Hdr,V,,2023-03-29 23:04:00+00:00,2023-03-29 23:04:20+00:00,20.0,1,3070.0,1,0,VIRM,10.0,0.0,2023-03-29 23:03:03+00:00,2280.0,2144.0,,-57.0,-77.0,True,2,23,0.9749279121818236,-0.2225209339563143,-0.2588190451025215,0.965925826289068,2320.0,2184.0,136.0,too late
152306,5409997,2023-03-03,8142,8100.0,E,Gn,V,,2023-03-03 11:33:00+00:00,2023-03-03 11:33:01+00:00,1.0,1,8127.0,0,0,SNG,3.0,1.0,2023-03-03 11:32:15+00:00,2160.0,2170.0,,-45.0,-46.0,True,4,11,-0.433883739117558,-0.9009688679024191,0.258819045102521,-0.9659258262890682,2219.0,2229.0,-10.0,perfect
152308,5410007,2023-03-13,3041,3000.0,O,Hdr,V,,2023-03-13 10:34:00+00:00,2023-03-13 10:33:59+00:00,-1.0,1,3020.0,0,0,VIRM,4.0,0.0,2023-03-13 10:33:07+00:00,2280.0,2247.0,,-53.0,-52.0,True,0,10,0.0,1.0,0.4999999999999999,-0.8660254037844387,2341.0,2308.0,33.0,perfect
152336,5410224,2023-03-26,564,500.0,E,Gn,V,,2023-03-26 17:18:00+00:00,2023-03-26 17:18:12+00:00,12.0,1,551.0,0,0,ICM,8.0,1.0,2023-03-26 17:17:11+00:00,2160.0,2163.0,,-49.0,-61.0,True,6,17,-0.7818314824680299,0.6234898018587334,-0.9659258262890684,-0.2588190451025206,2208.0,2211.0,-3.0,perfect
152338,5410236,2023-03-29,1887,1800.0,O,Gvc,V,,2023-03-29 23:03:00+00:00,2023-03-29 23:03:14+00:00,14.0,1,774.0,0,0,ICM,6.0,1.0,2023-03-29 23:02:09+00:00,2190.0,2214.0,,-51.0,-65.0,True,2,23,0.9749279121818236,-0.2225209339563143,-0.2588190451025215,0.965925826289068,2236.0,2260.0,-24.0,perfect
152345,5410297,2023-03-05,6453,6400.0,O,Tbu,V,,2023-03-05 15:33:00+00:00,2023-03-05 15:33:05+00:00,5.0,1,6452.0,0,0,FLIRT,3.0,0.0,2023-03-05 15:32:39+00:00,2100.0,2134.0,,-21.0,-26.0,True,6,15,-0.7818314824680299,0.6234898018587334,-0.7071067811865471,-0.7071067811865479,2155.0,2189.0,-34.0,perfect
152353,5410380,2023-03-28,536,500.0,E,Gn,V,,2023-03-28 10:18:00+00:00,2023-03-28 10:18:23+00:00,23.0,1,523.0,0,0,DDZ,4.0,1.0,2023-03-28 10:17:11+00:00,2160.0,2178.0,,-49.0,-72.0,True,1,10,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,2197.0,2215.0,-18.0,perfect
152354,5410391,2023-03-13,745,700.0,O,Gvc,V,,2023-03-13 12:33:00+00:00,2023-03-13 12:34:51+00:00,111.0,1,1832.0,0,0,ICM,6.0,1.0,2023-03-13 12:30:17+00:00,2190.0,2347.0,,-163.0,-274.0,True,0,12,0.0,1.0,1.2246467991473532e-16,-1.0,2139.0,2296.0,-157.0,too early
152396,5410760,2023-03-13,1828,1800.0,E,Lw,V,,2023-03-13 08:17:00+00:00,2023-03-13 08:17:23+00:00,23.0,1,1815.0,1,0,ICM,7.0,1.0,2023-03-13 08:16:09+00:00,2040.0,2037.0,,-51.0,-74.0,False,0,8,0.0,1.0,0.8660254037844387,-0.4999999999999998,2077.0,2074.0,3.0,perfect
152456,5411311,2023-03-08,1856,1800.0,E,Lw,V,,2023-03-08 15:17:00+00:00,2023-03-08 15:17:12+00:00,12.0,1,1843.0,0,0,ICM,7.0,1.0,2023-03-08 15:16:11+00:00,2040.0,2089.0,,-49.0,-61.0,True,2,15,0.9749279121818236,-0.2225209339563143,-0.7071067811865471,-0.7071067811865479,2088.0,2137.0,-49.0,perfect
152476,5411454,2023-03-25,3077,3000.0,O,Hdr,V,,2023-03-25 19:34:00+00:00,2023-03-25 19:34:05+00:00,5.0,1,3056.0,0,0,VIRM,6.0,0.0,2023-03-25 19:33:07+00:00,2280.0,2191.0,,-53.0,-58.0,True,5,19,-0.9749279121818236,-0.2225209339563146,-0.9659258262890684,0.2588190451025203,2335.0,2246.0,89.0,too late
152493,5411626,2023-03-05,741,700.0,O,Gvc,V,,2023-03-05 11:33:00+00:00,2023-03-05 11:33:16+00:00,16.0,1,1828.0,0,0,ICM,6.0,1.0,2023-03-05 11:32:09+00:00,2040.0,2092.0,,-51.0,-67.0,True,6,11,-0.7818314824680299,0.6234898018587334,0.258819045102521,-0.9659258262890682,2084.0,2136.0,-52.0,perfect
152514,5411780,2023-03-19,682,600.0,E,Lw,V,,2023-03-19 21:47:00+00:00,2023-03-19 21:47:12+00:00,12.0,1,669.0,0,0,ICM,7.0,0.0,2023-03-19 21:46:09+00:00,2040.0,2011.0,,-51.0,-63.0,True,6,21,-0.7818314824680299,0.6234898018587334,-0.7071067811865477,0.7071067811865474,2088.0,2059.0,29.0,perfect
152518,5411843,2023-03-09,528,500.0,E,Gn,V,,2023-03-09 08:18:00+00:00,2023-03-09 08:18:13+00:00,13.0,1,515.0,0,0,DDZ,4.0,1.0,2023-03-09 08:17:15+00:00,2160.0,2151.0,,-45.0,-58.0,False,3,8,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,2207.0,2198.0,9.0,perfect
152528,5411990,2023-03-27,1583,1500.0,O,Asd,V,,2023-03-27 22:30:00+00:00,2023-03-27 22:30:38+00:00,38.0,1,2674.0,0,0,ICM,4.0,1.0,2023-03-27 22:29:25+00:00,2280.0,2296.0,,-35.0,-73.0,True,0,22,0.0,1.0,-0.5000000000000004,0.8660254037844384,2302.0,2318.0,-16.0,perfect
152530,5412004,2023-03-29,1875,1800.0,O,Gvc,V,,2023-03-29 20:03:00+00:00,2023-03-29 20:03:00+00:00,0.0,1,762.0,0,0,ICM,6.0,1.0,2023-03-29 20:02:18+00:00,2190.0,2182.0,,-42.0,-42.0,True,2,20,0.9749279121818236,-0.2225209339563143,-0.8660254037844386,0.5000000000000001,2250.0,2242.0,8.0,perfect
152551,5412204,2023-03-29,734,700.0,E,Gn,V,,2023-03-29 09:48:00+00:00,2023-03-29 09:48:02+00:00,2.0,1,721.0,0,0,ICM,6.0,0.0,2023-03-29 09:47:07+00:00,2160.0,2177.0,,-53.0,-55.0,True,2,9,0.9749279121818236,-0.2225209339563143,0.7071067811865476,-0.7071067811865475,2218.0,2235.0,-17.0,perfect
152574,5412446,2023-03-12,564,500.0,E,Gn,V,,2023-03-12 17:18:00+00:00,2023-03-12 17:19:09+00:00,69.0,1,551.0,0,0,ICM,6.0,1.0,2023-03-12 17:17:15+00:00,2160.0,2223.0,,-45.0,-114.0,True,6,17,-0.7818314824680299,0.6234898018587334,-0.9659258262890684,-0.2588190451025206,2151.0,2214.0,-63.0,too early
152575,5412448,2023-03-15,8192,8100.0,E,Gn,V,,2023-03-16 00:03:00+00:00,2023-03-16 00:02:43+00:00,-17.0,1,8177.0,0,0,SNG,3.0,1.0,2023-03-16 00:02:10+00:00,2160.0,2139.0,,-50.0,-33.0,True,3,0,0.4338837391175582,-0.900968867902419,0.0,1.0,2237.0,2216.0,21.0,perfect
152619,5464816,2023-03-28,3079,3000.0,O,Hdr,V,,2023-03-28 20:04:00+00:00,2023-03-28 20:03:51+00:00,-9.0,1,3058.0,0,0,VIRM,6.0,0.0,2023-03-28 20:03:07+00:00,2280.0,2295.0,,-53.0,-44.0,True,1,20,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,2349.0,2364.0,-15.0,perfect
152620,5464818,2023-03-27,1860,1800.0,E,Lw,V,,2023-03-27 16:17:00+00:00,2023-03-27 16:18:01+00:00,61.0,1,1847.0,0,0,ICM,6.0,1.0,2023-03-27 16:16:09+00:00,2040.0,2164.0,,-51.0,-112.0,False,0,16,0.0,1.0,-0.8660254037844385,-0.5000000000000004,2039.0,2163.0,-124.0,too early
152625,5464866,2023-03-25,8172,8100.0,E,Gn,V,,2023-03-25 19:03:00+00:00,2023-03-25 19:02:48+00:00,-12.0,1,8157.0,0,0,SNG,4.0,0.0,2023-03-25 19:02:09+00:00,2160.0,2091.0,,-51.0,-39.0,True,5,19,-0.9749279121818236,-0.2225209339563146,-0.9659258262890684,0.2588190451025203,2232.0,2163.0,69.0,too late
152639,5465009,2023-03-15,1879,1800.0,O,Gvc,V,,2023-03-15 21:03:00+00:00,2023-03-15 21:03:17+00:00,17.0,1,766.0,0,1,ICM,3.0,1.0,2023-03-15 21:02:08+00:00,2190.0,2214.0,,-52.0,-69.0,True,2,21,0.9749279121818236,-0.2225209339563143,-0.7071067811865477,0.7071067811865474,2233.0,2257.0,-24.0,perfect
152641,5465048,2023-03-23,1856,1800.0,E,Lw,V,,2023-03-23 15:17:00+00:00,2023-03-23 15:17:09+00:00,9.0,1,1843.0,0,0,ICM,7.0,1.0,2023-03-23 15:16:09+00:00,2040.0,2125.0,,-51.0,-60.0,True,3,15,0.4338837391175582,-0.900968867902419,-0.7071067811865471,-0.7071067811865479,2091.0,2176.0,-85.0,too early
152730,5465811,2023-03-25,3097,3000.0,O,Hdr,V,,2023-03-26 00:34:00+00:00,2023-03-26 00:34:05+00:00,5.0,1,3076.0,0,0,VIRM,4.0,0.0,2023-03-26 00:33:08+00:00,2280.0,2298.0,,-52.0,-57.0,True,6,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,2335.0,2353.0,-18.0,perfect
152741,5465876,2023-03-10,8144,8100.0,E,Gn,V,,2023-03-10 12:03:00+00:00,2023-03-10 12:02:49+00:00,-11.0,1,8129.0,0,0,SNG,6.0,1.0,2023-03-10 12:02:08+00:00,2160.0,2030.0,,-52.0,-41.0,True,4,12,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,2231.0,2101.0,130.0,too late
152798,5466297,2023-03-29,1835,1800.0,O,Gvc,V,,2023-03-29 10:03:00+00:00,2023-03-29 10:03:08+00:00,8.0,1,722.0,0,0,ICM,7.0,1.0,2023-03-29 10:02:09+00:00,2190.0,2203.0,,-51.0,-59.0,True,2,10,0.9749279121818236,-0.2225209339563143,0.4999999999999999,-0.8660254037844387,2242.0,2255.0,-13.0,perfect
152801,5466369,2023-03-30,1828,1800.0,E,Lw,V,,2023-03-30 08:17:00+00:00,2023-03-30 08:17:09+00:00,9.0,1,1815.0,0,0,ICM,7.0,1.0,2023-03-30 08:16:09+00:00,2040.0,2083.0,,-51.0,-60.0,False,3,8,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998,2091.0,2134.0,-43.0,perfect
152816,5466493,2023-03-28,741,700.0,O,Gvc,V,,2023-03-28 11:33:00+00:00,2023-03-28 11:33:00+00:00,0.0,1,1828.0,0,0,ICM,7.0,1.0,2023-03-28 11:32:10+00:00,2190.0,2174.0,,-50.0,-50.0,True,1,11,0.7818314824680298,0.6234898018587336,0.258819045102521,-0.9659258262890682,2250.0,2234.0,16.0,perfect
152818,5466519,2023-03-05,754,700.0,E,Gn,V,,2023-03-05 14:48:00+00:00,2023-03-05 14:48:17+00:00,17.0,1,741.0,0,0,ICM,6.0,1.0,2023-03-05 14:47:10+00:00,2160.0,2195.0,,-50.0,-67.0,True,6,14,-0.7818314824680299,0.6234898018587334,-0.4999999999999997,-0.8660254037844388,2203.0,2238.0,-35.0,perfect
152880,5466994,2023-03-23,8192,8100.0,E,Gn,V,,2023-03-24 00:03:00+00:00,2023-03-24 00:03:07+00:00,7.0,1,8177.0,0,0,SNG,3.0,1.0,2023-03-24 00:02:12+00:00,2160.0,2177.0,,-48.0,-55.0,True,4,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,2213.0,2230.0,-17.0,perfect
152906,5467184,2023-03-11,8148,8100.0,E,Gn,V,,2023-03-11 13:03:00+00:00,2023-03-11 13:03:11+00:00,11.0,1,8133.0,0,0,SNG,3.0,1.0,2023-03-11 13:02:09+00:00,2160.0,2167.0,,-51.0,-62.0,True,5,13,-0.9749279121818236,-0.2225209339563146,-0.2588190451025208,-0.9659258262890684,2209.0,2216.0,-7.0,perfect
152956,5467597,2023-03-04,8156,8100.0,E,Gn,V,,2023-03-04 15:03:00+00:00,2023-03-04 15:02:59+00:00,-1.0,1,8141.0,0,0,SNG,3.0,1.0,2023-03-04 15:02:08+00:00,2160.0,2150.0,,-52.0,-51.0,True,5,15,-0.9749279121818236,-0.2225209339563146,-0.7071067811865471,-0.7071067811865479,2221.0,2211.0,10.0,perfect
152969,5467697,2023-03-19,3071,3000.0,O,Hdr,V,,2023-03-19 18:04:00+00:00,2023-03-19 18:03:50+00:00,-10.0,1,3050.0,1,0,VIRM,10.0,0.0,2023-03-19 18:03:08+00:00,2280.0,2282.0,,-52.0,-42.0,True,6,18,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210294e-16,2350.0,2352.0,-2.0,perfect
