,TRAFFIC_DATE,TRAINNUMBER,TRAINSERIE,TRAINSERIE_DIRECTION,STATION,ACTIVITYTYPE,PLAN_DATETIME,REALIZED_DATETIME,DELAY,TURNOVER_INDICATOR,PREVIOUS_TRAINNUMBER,COMBINE,SPLIT,ROLLINGSTOCK_TYPE,NUMBER_CARRIAGES,DRIVER_CHANGE,DEPARTURE_SIGNAL_SHOWS_SAFE,PLAN_TURNOVER_TIME,REALIZED_TURNOVER_TIME,MAX_DEPARTURE_TIME,PLAN_SIGNAL_SAFE_DELAY,REALIZED_SIGNAL_SAFE_DELAY,DAY_IN_WEEK,24-TIME,DALUREN,NEEDED_PLAN_TURNOVER_TIME,NEEDED_REALIZED_TURNOVER_TIME,DIFF_TURNOVER_TIME,DIFF_TURNOVER_TIME_CAT
16761,2023-03-06,3164,3100.0,E,Ah,V,2023-03-06 18:15:00+00:00,2023-03-06 18:14:50+00:00,-10.0,1,nan,0,0,VIRM,10.0,1.0,2023-03-06 18:14:07+00:00,300.0,299.0,2023-03-06 18:14:50+00:00,-53.0,-43.0,0,2024-05-15 18:15:00,False,370.0,369.0,1.0,perfect
16785,2023-03-06,3165,3100.0,O,Ah,V,2023-03-06 18:50:00+00:00,2023-03-06 18:50:24+00:00,24.0,1,nan,0,0,VIRM,6.0,1.0,2023-03-06 18:49:06+00:00,300.0,313.0,2023-03-06 18:50:24+00:00,-54.0,-78.0,0,2024-05-15 18:50:00,True,336.0,349.0,-13.0,perfect
16789,2023-03-06,3166,3100.0,E,Ah,V,2023-03-06 18:46:00+00:00,2023-03-06 18:46:19+00:00,19.0,1,nan,0,0,VIRM,4.0,1.0,2023-03-06 18:45:07+00:00,360.0,272.0,2023-03-06 18:46:19+00:00,-53.0,-72.0,0,2024-05-15 18:46:00,True,401.0,313.0,88.0,too late
16813,2023-03-06,3167,3100.0,O,Ah,V,2023-03-06 19:20:00+00:00,2023-03-06 19:20:13+00:00,13.0,1,nan,0,0,VIRM,4.0,1.0,2023-03-06 19:19:06+00:00,300.0,283.0,2023-03-06 19:20:13+00:00,-54.0,-67.0,0,2024-05-15 19:20:00,True,347.0,330.0,17.0,perfect
16841,2023-03-06,3169,3100.0,O,Ah,V,2023-03-06 19:50:00+00:00,2023-03-06 19:50:16+00:00,16.0,1,nan,0,0,VIRM,6.0,1.0,2023-03-06 19:49:07+00:00,300.0,321.0,2023-03-06 19:50:16+00:00,-53.0,-69.0,0,2024-05-15 19:50:00,True,344.0,365.0,-21.0,perfect
16869,2023-03-06,3171,3100.0,O,Ah,V,2023-03-06 20:20:00+00:00,2023-03-06 20:20:50+00:00,50.0,1,nan,0,0,VIRM,6.0,1.0,2023-03-06 20:18:49+00:00,300.0,337.0,2023-03-06 20:20:50+00:00,-71.0,-121.0,0,2024-05-15 20:20:00,True,310.0,347.0,-37.0,perfect
77552,2023-03-06,11716,11700.0,E,Ut,V,2023-03-06 06:58:00+00:00,2023-03-06 06:58:22+00:00,22.0,1,nan,0,0,ICM,7.0,1.0,2023-03-06 06:57:08+00:00,300.0,200.0,2023-03-06 06:58:22+00:00,-52.0,-74.0,0,2024-05-15 06:58:00,False,338.0,238.0,100.0,too late
77560,2023-03-06,11720,11700.0,E,Ut,V,2023-03-06 07:58:00+00:00,2023-03-06 08:04:28+00:00,388.0,1,nan,0,0,ICM,12.0,0.0,2023-03-06 07:57:07+00:00,300.0,478.0,2023-03-06 08:04:28+00:00,-53.0,-441.0,0,2024-05-15 07:58:00,False,-28.0,150.0,-178.0,too early
77568,2023-03-06,11721,11700.0,O,Ut,V,2023-03-06 07:07:00+00:00,2023-03-06 07:07:03+00:00,3.0,1,nan,0,0,ICM,12.0,1.0,2023-03-06 07:06:08+00:00,300.0,333.0,2023-03-06 07:07:03+00:00,-52.0,-55.0,0,2024-05-15 07:07:00,False,357.0,390.0,-33.0,perfect
77576,2023-03-06,11724,11700.0,E,Ut,V,2023-03-06 08:58:00+00:00,2023-03-06 08:58:08+00:00,8.0,1,nan,0,0,ICM,7.0,1.0,2023-03-06 08:57:08+00:00,300.0,259.0,2023-03-06 08:58:08+00:00,-52.0,-60.0,0,2024-05-15 08:58:00,False,352.0,311.0,41.0,perfect
